Type,IndexingTime
default,246.0
default,201.0
default,204.0
default,204.0
default,200.0
default,206.0
default,205.0
default,229.0
default,202.0
default,199.0
default,203.0
default,200.0
default,205.0
default,201.0
default,204.0
default,230.0
default,201.0
default,202.0
default,201.0
default,200.0
default,204.0
default,209.0
default,223.0
default,204.0
default,201.0
default,204.0
default,201.0
default,200.0
default,201.0
default,229.0
parallel,196.0
parallel,181.0
parallel,179.0
parallel,177.0
parallel,199.0
parallel,178.0
parallel,179.0
parallel,191.0
parallel,179.0
parallel,178.0
parallel,178.0
parallel,179.0
parallel,181.0
parallel,179.0
parallel,182.0
parallel,182.0
parallel,180.0
parallel,180.0
parallel,176.0
parallel,181.0
parallel,178.0
parallel,180.0
parallel,192.0
parallel,176.0
parallel,178.0
parallel,178.0
parallel,182.0
parallel,178.0
parallel,193.0
parallel,180.0
batch,182.0
batch,180.0
batch,183.0
batch,179.0
batch,184.0
batch,179.0
batch,185.0
batch,185.0
batch,177.0
batch,186.0
batch,183.0
batch,179.0
batch,182.0
batch,182.0
batch,183.0
batch,183.0
batch,185.0
batch,183.0
batch,180.0
batch,183.0
batch,178.0
batch,177.0
batch,187.0
batch,185.0
batch,180.0
batch,182.0
batch,188.0
batch,182.0
batch,177.0
batch,180.0
