Type,IndexingTime
default,237.0
default,206.0
default,204.0
default,209.0
default,222.0
default,209.0
default,212.0
default,230.0
default,261.0
default,219.0
default,239.0
default,216.0
default,208.0
default,206.0
default,226.0
default,207.0
default,208.0
default,269.0
default,241.0
default,206.0
default,207.0
default,206.0
default,223.0
default,212.0
default,208.0
default,206.0
default,209.0
default,218.0
default,234.0
default,244.0
parallel,193.0
parallel,197.0
parallel,189.0
parallel,188.0
parallel,187.0
parallel,190.0
parallel,186.0
parallel,196.0
parallel,187.0
parallel,189.0
parallel,189.0
parallel,187.0
parallel,188.0
parallel,188.0
parallel,188.0
parallel,188.0
parallel,189.0
parallel,191.0
parallel,185.0
parallel,188.0
parallel,238.0
parallel,194.0
parallel,190.0
parallel,188.0
parallel,186.0
parallel,193.0
parallel,199.0
parallel,200.0
parallel,189.0
parallel,193.0
batch,196.0
batch,191.0
batch,188.0
batch,194.0
batch,198.0
batch,193.0
batch,192.0
batch,194.0
batch,198.0
batch,196.0
batch,190.0
batch,189.0
batch,191.0
batch,190.0
batch,189.0
batch,191.0
batch,237.0
batch,200.0
batch,206.0
batch,190.0
batch,191.0
batch,190.0
batch,188.0
batch,189.0
batch,195.0
batch,188.0
batch,191.0
batch,202.0
batch,189.0
batch,188.0
