Type,IndexingTime
default,1584.0
default,1475.0
default,1372.0
default,1380.0
default,1391.0
default,1402.0
default,1443.0
default,1470.0
default,1421.0
default,1470.0
default,1409.0
default,1405.0
default,1383.0
default,1380.0
default,1378.0
default,1370.0
default,1383.0
default,1400.0
default,1453.0
default,1396.0
default,1471.0
default,1393.0
default,1423.0
default,1419.0
default,1424.0
parallel,1313.0
parallel,1326.0
parallel,1268.0
parallel,1317.0
parallel,1530.0
parallel,1252.0
parallel,1290.0
parallel,1272.0
parallel,1350.0
parallel,1298.0
parallel,1384.0
parallel,1205.0
parallel,1217.0
parallel,1396.0
parallel,1286.0
parallel,1320.0
parallel,1243.0
parallel,1260.0
parallel,1277.0
parallel,1236.0
parallel,1296.0
parallel,1268.0
parallel,1336.0
parallel,1303.0
parallel,1263.0
batch,1139.0
batch,1090.0
batch,1117.0
batch,999.0
batch,1062.0
batch,895.0
batch,1157.0
batch,1035.0
batch,1054.0
batch,1050.0
batch,901.0
batch,991.0
batch,1067.0
batch,958.0
batch,836.0
batch,947.0
batch,1128.0
batch,1269.0
batch,1151.0
batch,1356.0
batch,1220.0
batch,987.0
batch,1139.0
batch,1157.0
batch,980.0
