Type,IndexingTime
default,1596.0
default,1295.0
default,1846.0
default,1554.0
default,1402.0
default,1433.0
default,1420.0
default,1360.0
default,1652.0
default,1486.0
default,1603.0
default,1587.0
default,1486.0
default,1405.0
default,1521.0
default,1476.0
default,1573.0
default,1288.0
default,1330.0
default,1518.0
default,1472.0
default,1487.0
default,1198.0
default,1460.0
default,1654.0
parallel,1222.0
parallel,1245.0
parallel,1243.0
parallel,1392.0
parallel,1496.0
parallel,1668.0
parallel,1202.0
parallel,1320.0
parallel,1352.0
parallel,1195.0
parallel,1265.0
parallel,1366.0
parallel,1227.0
parallel,1210.0
parallel,1345.0
parallel,1292.0
parallel,1234.0
parallel,1202.0
parallel,1245.0
parallel,1210.0
parallel,1308.0
parallel,1168.0
parallel,1163.0
parallel,1421.0
parallel,1210.0
batch,1044.0
batch,1153.0
batch,935.0
batch,1087.0
batch,1151.0
batch,961.0
batch,998.0
batch,1185.0
batch,1365.0
batch,1261.0
batch,1037.0
batch,1122.0
batch,1080.0
batch,1086.0
batch,1368.0
batch,1275.0
batch,1386.0
batch,1277.0
batch,1471.0
batch,1248.0
batch,1245.0
batch,1116.0
batch,1203.0
batch,997.0
batch,1157.0
