Type,IndexingTime
default,4187.0
default,2357.0
default,2312.0
default,2277.0
default,2290.0
default,2286.0
default,2284.0
default,2297.0
default,2288.0
default,2282.0
default,2280.0
default,2289.0
default,2287.0
default,2289.0
default,2282.0
default,2448.0
default,2844.0
default,2775.0
default,3812.0
default,2318.0
default,2508.0
default,2433.0
default,2315.0
default,2330.0
default,2300.0
default,2297.0
default,2333.0
default,2332.0
default,2346.0
default,2331.0
parallel,858.0
parallel,835.0
parallel,821.0
parallel,850.0
parallel,781.0
parallel,886.0
parallel,843.0
parallel,827.0
parallel,792.0
parallel,831.0
parallel,814.0
parallel,870.0
parallel,795.0
parallel,826.0
parallel,794.0
parallel,790.0
parallel,747.0
parallel,777.0
parallel,827.0
parallel,770.0
parallel,834.0
parallel,883.0
parallel,829.0
parallel,954.0
parallel,1106.0
parallel,1235.0
parallel,948.0
parallel,886.0
parallel,826.0
parallel,883.0
batch,858.0
batch,810.0
batch,806.0
batch,785.0
batch,825.0
batch,812.0
batch,845.0
batch,805.0
batch,800.0
batch,778.0
batch,812.0
batch,778.0
batch,777.0
batch,775.0
batch,816.0
batch,818.0
batch,863.0
batch,803.0
batch,800.0
batch,844.0
batch,801.0
batch,815.0
batch,798.0
batch,777.0
batch,845.0
batch,794.0
batch,870.0
batch,869.0
batch,827.0
batch,823.0
