Type,IndexingTime
default,9673.0
default,8126.0
default,9667.0
default,8113.0
default,7424.0
default,7493.0
default,7440.0
default,7680.0
default,7597.0
default,7594.0
default,7470.0
default,7516.0
default,7624.0
default,7571.0
default,7628.0
default,7670.0
default,7625.0
default,7469.0
default,7658.0
default,8053.0
default,7822.0
default,7635.0
default,7613.0
default,9110.0
default,7800.0
default,7572.0
default,7976.0
default,7837.0
default,7812.0
default,7593.0
default,7698.0
default,7636.0
default,7650.0
default,7574.0
default,7689.0
default,7626.0
default,7605.0
default,7742.0
default,7591.0
default,7656.0
default,8706.0
default,8501.0
default,7968.0
default,7692.0
default,8217.0
default,7919.0
default,7569.0
default,7707.0
default,8232.0
default,7557.0
parallel,3243.0
parallel,3527.0
parallel,3212.0
parallel,3351.0
parallel,3241.0
parallel,3417.0
parallel,2892.0
parallel,3827.0
parallel,3131.0
parallel,3170.0
parallel,3046.0
parallel,3401.0
parallel,3500.0
parallel,3309.0
parallel,3479.0
parallel,3018.0
parallel,2892.0
parallel,2919.0
parallel,3623.0
parallel,3183.0
parallel,2855.0
parallel,2955.0
parallel,2948.0
parallel,3906.0
parallel,3381.0
parallel,3663.0
parallel,3320.0
parallel,3582.0
parallel,3621.0
parallel,3200.0
parallel,3674.0
parallel,3244.0
parallel,3619.0
parallel,4069.0
parallel,3430.0
parallel,3386.0
parallel,3076.0
parallel,3801.0
parallel,3464.0
parallel,3819.0
parallel,3681.0
parallel,3519.0
parallel,3455.0
parallel,2864.0
parallel,3191.0
parallel,3179.0
parallel,2908.0
parallel,3329.0
parallel,3403.0
parallel,3530.0
batch,3433.0
batch,3221.0
batch,2863.0
batch,3517.0
batch,3252.0
batch,3749.0
batch,3183.0
batch,2909.0
batch,3244.0
batch,2849.0
batch,2942.0
batch,2926.0
batch,3268.0
batch,3240.0
batch,3404.0
batch,3287.0
batch,3293.0
batch,3468.0
batch,2908.0
batch,3142.0
batch,3191.0
batch,2995.0
batch,3410.0
batch,3043.0
batch,3092.0
batch,3135.0
batch,3424.0
batch,3268.0
batch,3809.0
batch,3718.0
batch,3434.0
batch,3352.0
batch,4043.0
batch,3281.0
batch,3556.0
batch,3418.0
batch,2956.0
batch,3224.0
batch,3030.0
batch,3231.0
batch,2868.0
batch,3158.0
batch,2947.0
batch,2965.0
batch,3392.0
batch,3202.0
batch,3514.0
batch,3342.0
batch,3744.0
batch,3519.0
